Router,Host,Index,Transporte(Gbps),Status,device_index
nAgregadorPolo1_2,10.235.192.101,438349824,10,-,nAgregadorPolo1_2438349824
nAgregadorPolo1_2,10.235.192.101,438353920,10,-,nAgregadorPolo1_2438353920
nAgregadorPolo1_2,10.235.192.101,438358016,10,-,nAgregadorPolo1_2438358016
nAgregadorPolo1_2,10.235.192.101,438362112,10,-,nAgregadorPolo1_2438362112
nAgregadorPolo1_2,10.235.192.101,438378496,10,-,nAgregadorPolo1_2438378496
OSR01-VillaSalvador,10.235.0.42,51,10,-,OSR01-VillaSalvador51
OSR01-VillaSalvador,10.235.0.42,127,1,-,OSR01-VillaSalvador127
OSR01-VillaSalvador,10.235.0.42,203,1,-,OSR01-VillaSalvador203
OSR01-VillaSalvador,10.235.0.42,204,1,-,OSR01-VillaSalvador204
OSR01-VillaSalvador,10.235.0.42,205,1,-,OSR01-VillaSalvador205
OSR01-VillaSalvador,10.235.0.42,275,10,-,OSR01-VillaSalvador275
OSR01-VillaSalvador,10.235.0.42,277,10,-,OSR01-VillaSalvador277
OSR01-VillaSalvador,10.235.0.42,277,10,-,OSR01-VillaSalvador277
OSR01-VillaSalvador,10.235.0.42,279,10,-,OSR01-VillaSalvador279
OSR01-VillaSalvador,10.235.0.42,281,10,-,OSR01-VillaSalvador281
OSR01-VillaSalvador,10.235.0.42,426,10,-,OSR01-VillaSalvador426
OSR01-VillaSalvador,10.235.0.42,427,10,-,OSR01-VillaSalvador427
OSR01-VillaSalvador,10.235.0.42,429,10,-,OSR01-VillaSalvador429
OSR02-VillaSalvador,10.235.0.43,51,10,-,OSR02-VillaSalvador51
OSR02-VillaSalvador,10.235.0.43,124,1,-,OSR02-VillaSalvador124
OSR02-VillaSalvador,10.235.0.43,203,1,-,OSR02-VillaSalvador203
OSR02-VillaSalvador,10.235.0.43,204,1,-,OSR02-VillaSalvador204
OSR02-VillaSalvador,10.235.0.43,205,1,-,OSR02-VillaSalvador205
OSR02-VillaSalvador,10.235.0.43,275,10,-,OSR02-VillaSalvador275
OSR02-VillaSalvador,10.235.0.43,277,10,-,OSR02-VillaSalvador277
OSR02-VillaSalvador,10.235.0.43,279,10,-,OSR02-VillaSalvador279
OSR02-VillaSalvador,10.235.0.43,281,10,-,OSR02-VillaSalvador281
OSR02-VillaSalvador,10.235.0.43,419,10,-,OSR02-VillaSalvador419
OSR02-VillaSalvador,10.235.0.43,420,10,-,OSR02-VillaSalvador420
OSR02-VillaSalvador,10.235.0.43,422,10,-,OSR02-VillaSalvador422
SWGPRS01-ST1,10.235.192.182,55,10,-,SWGPRS01-ST155
SWGPRS01-ST1,10.235.192.182,56,10,-,SWGPRS01-ST156
SWGPRS01-ST1,10.235.192.182,57,10,-,SWGPRS01-ST157
SWGPRS01-ST1,10.235.192.182,59,10,-,SWGPRS01-ST159
SWGPRS01-ST1,10.235.192.182,60,10,-,SWGPRS01-ST160
SWGPRS01-ST1,10.235.192.182,61,10,-,SWGPRS01-ST161
SWGPRS01-ST1,10.235.192.182,62,10,-,SWGPRS01-ST162
SWGPRS01-ST1,10.235.192.182,64,10,-,SWGPRS01-ST164
SWGPRS01-ST1,10.235.192.182,96,1,-,SWGPRS01-ST196
SWGPRS01-ST1,10.235.192.182,132,10,-,SWGPRS01-ST1132
SWGPRS01-ST1,10.235.192.182,134,1,-,SWGPRS01-ST1134
SWGPRS01-ST1,10.235.192.182,135,1,-,SWGPRS01-ST1135
SWGPRS01-ST1,10.235.192.182,136,1,-,SWGPRS01-ST1136
SWGPRS02-ST1,10.235.192.183,55,10,-,SWGPRS02-ST155
SWGPRS02-ST1,10.235.192.183,56,10,-,SWGPRS02-ST156
SWGPRS02-ST1,10.235.192.183,128,1,-,SWGPRS02-ST1128
SWGPRS02-ST1,10.235.192.183,156,10,-,SWGPRS02-ST1156
SWGPRS02-ST1,10.235.192.183,158,1,-,SWGPRS02-ST1158
SWGPRS02-ST1,10.235.192.183,159,1,-,SWGPRS02-ST1159
SWGPRS02-ST1,10.235.192.183,160,1,-,SWGPRS02-ST1160
SWGPRS02-ST1,10.235.192.183,467,10,-,SWGPRS02-ST1467
SWGPRS02-ST1,10.235.192.183,469,10,-,SWGPRS02-ST1469
SWGPRS02-ST1,10.235.192.183,470,10,-,SWGPRS02-ST1470
SWGPRS02-ST1,10.235.192.183,471,10,-,SWGPRS02-ST1471
SWGPRS02-ST1,10.235.192.183,472,10,-,SWGPRS02-ST1472
SWGPRS02-ST1,10.235.192.183,474,1,-,SWGPRS02-ST1474
ceAGREGADORVillaSalvador,10.235.191.244,107,10,-,ceAGREGADORVillaSalvador107
ceAGREGADORVillaSalvador,10.235.191.244,108,10,-,ceAGREGADORVillaSalvador108
ceAGREGADORVillaSalvador,10.235.191.244,109,10,-,ceAGREGADORVillaSalvador109
