Equipo,Host
rCSRMollendo,10.134.32.174
rCSRMSC05,10.253.8.166
rCSROmate,10.252.37.42
rCSROyon,10.253.5.95
rCSRParuro,10.253.19.210
rCSRPausa,10.253.27.173
rCSRPiscobamba,10.253.14.75
rCSRPuertoInca,10.253.48.175
rCSRPuquio,10.253.17.168
rCSRRodriguezMendoza,10.253.14.142
rCSRSandia,10.134.33.82
rCSRSatipoCentro,10.253.27.178
rCSRTarata,10.252.37.224
rCSRTayabamba,10.253.14.141
rCSRUcoPaucasChingas,10.253.14.140
rCSRUpnLimaIndoor,10.253.1.162
rCSRYauyos,10.253.5.87
rGestionVillaSalvador_1,172.19.216.4
rHeadend_VillaSalvador01,10.235.0.25
rHeadend_VillaSalvador02,10.235.0.28
rMPLSAbancay,10.235.2.121
rMPLSAeropuerto01,10.235.125.12
rMPLSAeropuerto2,10.235.0.67
rMPLSAeropuerto3,10.235.0.68
rMPLSArequipa2,10.235.2.31
rMPLSArequipa3,10.235.2.30
rMPLSArequipa4,10.235.3.34
rMPLSArequipa5,10.235.3.39
rMPLSArequipa6,10.235.3.35
rMPLSArequipaBR04,10.235.3.36
rMPLSArequipaBR4,10.235.2.18
rMPLSAsia2,10.235.145.45
rMPLSAsia3,10.235.145.46
rMPLSAviacion,10.235.0.92
rMPLSAyacucho,10.235.2.122
rMPLSBarranca,10.235.2.98
rMPLSBarranca2,10.235.2.99
rMPLSCajamarca4,10.235.3.13
rMPLSCajamarca5,10.235.3.14
rMPLSCallao,10.235.0.102
rMPLSCamacho,10.235.63.8
rMPLSChiclayo4,10.235.3.6
rMPLSChiclayo5,10.235.3.7
rMPLSChimbote2,10.235.2.12
rMPLSChimbote3,10.235.2.13
rMPLSChincha2,10.235.2.117
rMPLSChincha3,10.235.2.118
rMPLSColonial,10.235.0.132
rMPLSCOREArequipa,10.235.2.16
rMPLSCoreArequipa2,10.235.3.32
rMPLSCoreArequipa3,10.235.3.33
rMPLSCorePolo1_2,10.235.0.79
rMPLSCorePolo1_3,10.235.0.87
rMPLSCORETrujillo,10.235.2.1
rMPLSCoreTrujillo2,10.235.3.1
rMPLSCoreTrujillo3,10.235.3.2
rMPLSCoreVillaSalvador2,10.235.0.81
rMPLSCoreVillaSalvador3,10.235.0.82
rMPLSCorporativoPolo1,10.235.0.71
rMPLSCorporativoPolo2,10.235.0.72
rMPLSCotabambas2,10.235.0.133
rMPLSCuzco2,10.235.2.20
rMPLSCuzco3,10.235.2.29
rMPLSCuzco4,10.235.3.37
rMPLSCuzco5,10.235.3.38
rMPLSHiguereta,10.235.0.13
rMPLSHiguereta2,10.235.0.94
rMPLSHuacho2,10.235.204.42
rMPLSHuacho3,10.235.2.103
rMPLSHuancayo2,10.235.2.120
rMPLSHuancayo3,10.235.3.40
rMPLSHuancayo4,10.235.3.41
rMPLSHuanuco,10.235.2.3
rMPLSHuanuco2,10.235.2.9
rMPLSHuanuco3,10.235.3.15
rMPLSHuanuco4,10.235.3.16
rMPLSHuisonroque2,10.235.2.27
rMPLSIca2,10.235.2.22
rMPLSIca3,10.235.2.119
rMPLSIca4,10.235.3.46
rMPLSIca5,10.235.3.47
rMPLSIngenieria,10.235.0.134
rMPLSInternacionalPolo1,10.235.0.31
rMPLSInternacionalVES,10.235.0.30
rMPLSIquitos2,10.235.2.108
rMPLSIquitos3,10.235.2.109
rMPLSJuliaca2,10.235.2.115
rMPLSJuliaca3,10.235.3.42
rMPLSJuliaca4,10.235.3.43
rMPLSLaMolina,10.235.0.95
rMPLSLaOroya,10.235.2.113
rMPLSLaOroya2,10.235.2.114
rMPLSLosOlivos2,10.235.0.135
rMPLSMonterrico,10.235.62.20
rMPLSMoquegua,10.235.2.111
rMPLSMoquegua2,10.235.2.112
rMPLSNAP_1,10.235.0.60
rMPLSNAP_2,10.235.0.55
rMPLSPiura3,10.235.3.8
rMPLSPiura4,10.235.3.9
rMPLSPolo1_01,10.235.191.234
rMPLSPolo1_02,10.235.191.235
rMPLSPolo1_03,10.235.0.117
rMPLSPolo1_04,10.235.0.118
rMPLSPolo1_1,10.235.0.44
rMPLSPolo1_2,10.235.0.45
rMPLSPolo1_3,10.235.0.63
rMPLSPolo1_4,10.235.0.64
rMPLSPolo1BR02,10.235.0.123
rMPLSPolo1BR2,10.235.0.49
rMPLSPolo2_1,10.235.0.9
rMPLSPolo2_2,10.235.0.10
rMPLSPolo2_3,10.235.0.65
rMPLSPolo2_4,10.235.0.66
rMPLSPOPSanFelipe2,10.235.0.103
rMPLSPucallpa2,10.235.2.14
rMPLSPucallpa3,10.235.2.15
rMPLSPuno,10.235.3.44
rMPLSPuno2,10.235.3.45
rMPLSSanFelipe,10.235.120.87
rMPLSSanMiguel,10.235.121.4
rMPLSSantaAnita,10.235.0.98
rMPLSSantaLuzmila,10.235.0.136
rMPLSTacna,10.235.3.48
rMPLSTacna01,10.235.2.21
rMPLSTacna02,10.235.2.28
rMPLSTacna2,10.235.3.49
rMPLSTarapoto,10.235.2.106
rMPLSTarapoto2,10.235.2.107
rMPLSTarapoto3,10.235.3.17
rMPLSTarapoto4,10.235.3.18
rMPLSTrujillo2,10.235.2.100
rMPLSTrujillo3,10.235.2.101
rMPLSTrujillo4,10.235.3.3
rMPLSTrujillo5,10.235.3.12
rMPLSTrujillo6,10.235.3.4
rMPLSTrujilloBR03,10.235.3.5
rMPLSTrujilloBR3,10.235.2.8
rMPLSTumbes,10.235.3.10
rMPLSTumbes2,10.235.3.11
rMPLSVillaSalvador,10.235.0.16
rMPLSVillaSalvador01,10.235.0.105
rMPLSVillaSalvador02,10.235.0.106
rMPLSVillaSalvador3,10.235.0.75
rMPLSVillaSalvador4,10.235.0.76
rMPLSVillaSalvadorBR01,10.235.0.124
rMPLSVillaSalvadorBR1,10.235.0.48
rMPLSZarate,10.235.66.17
rSVAVillaSalvador,10.235.140.204
SANISIDRO,10.120.14.211
SW_DMZs_Servicio_DCT,192.168.252.59
SW_DMZs_Servicio_DCTI02,192.168.252.81
SW01-POLO1,10.235.192.164
SW02-POLO1,10.235.192.165
SW-BB01ST1,172.19.204.1
SW-BB02ST1,172.19.204.2
SWDMZ01-ST1,192.168.252.100
SWDMZ02-ST1,10.128.9.158
SWGPRS01-ST1,10.235.192.182
SWGPRS01-ST2,10.235.192.68
SWGPRS02-ST1,10.235.192.183
SWGPRS02-ST2,10.235.192.69
SWISP01-ST1,10.38.0.4
SWISP01-ST2,10.38.0.132
TMETROAviacion,10.235.26.6
TMETROColonial,10.235.45.2
TMETROHiguereta,10.235.60.5
TMETROSantaLuzmila,10.235.43.4
